Name,Age,Position,Hand,BatTarget,OnBaseTarget,Pitcher,PitchDie,Traits,Team
Carter Shelton,33,C2,R,19,24,,,P--,Cannons
Marc Vazquez,24,SP,R,,,,12,ST+,Cannons
Piper Hightower,20,SP,R,,,,12,CN+,Cannons
Victor Calderon,19,SP,R,,,,12,CL+,Cannons
Roberto Martin,35,SP,L,,,,8,,Cannons
Seth Ross,25,SP,L,,,,8,,Cannons
Joanne Cooper,21,RP,R,,,,12,R-,Cannons
Tori Hanley,20,RP,L,,,,8,ST+,Cannons
Miguel Taylor,34,RP,R,,,,4,,Cannons
Ian Torres,28,RP,R,,,,4,GB+,Cannons
Aiden Brooks,31,RP,L,,,,4,,Cannons
Karl Gomez,34,RP,R,,,,-4,,Cannons
Cody Washington,34,RP,L,,,,-4,,Cannons
Merle Roberts,21,C,R,39,44,,,P+,Claws
Jayden Ortiz,28,1B,S,35,43,,,,Claws
Diego Flores,29,2B,R,38,48,,,S+,Claws
Elmer Mendoza,24,3B,L,37,42,,,S+,Claws
Ilze Aikema,23,SS,L,34,44,,,,Claws
Tyrone Clark,26,LF,R,36,46,,,P+,Claws
Zachary Alvarez,28,CF,R,29,35,,,,Claws
Frederick Bates,29,RF,R,33,42,,,,Claws
Gabriel Martin,29,OF,R,21,26,,,D+,Claws
Sol Knight,22,OF,R,32,36,,,P++,Claws
Javier Carrasco,30,INF,R,24,33,,,,Claws
Xavier Medina,28,INF,R,27,37,,,C+,Claws
Lena Marquez,18,C2,R,30,32,,,R+,Claws
Bobby Reid,24,SP,L,,,,12,Q+,Claws
Seth Nelson,30,SP,L,,,,12,CN+,Claws
Jess Lam,21,SP,R,,,,12,ST+,Claws
Zachary Tapia,22,SP,R,,,,8,,Claws
Esteban Lopez,28,SP,L,,,,4,,Claws
Mariano Gonzalez,25,RP,L,,,,20,CN+,Claws
Tomas Herrero,28,RP,R,,,,20,SC+,Claws
Claudette Moran,21,RP,R,,,,20,K+,Claws
Ben Shelton,26,RP,L,,,,20,SC+,Claws
Connor Rogers,35,RP,R,,,,4,,Claws
Ifiok Braune,23,RP,L,,,,4,,Claws
Carmelo Reyes,37,RP,R,,,,-4,Q-,Claws
Alfred Williams,30,C,R,24,34,,,D-,Crocs
Granville Garrison,22,1B,R,42,48,,,R+,Crocs
Harry Bowman,26,2B,S,21,23,,,C+,Crocs
Hector Santana,27,3B,R,37,41,,,,Crocs
Owen McAllister,18,SS,R,28,30,,,P+,Crocs
Luis Cano,31,LF,L,32,36,,,S+,Crocs
Pedro Reyes,25,CF,S,37,42,,,P+,Crocs
Travis Vargas,32,RF,L,25,33,,,T+,Crocs
Mac Silva,21,OF,L,30,34,,,R+,Crocs
Colin York,22,OF,L,22,26,,,P-,Crocs
Ethan Solis,22,INF,R,26,33,,,R+,Crocs
Axel Rodriguez,20,INF,S,25,27,,,P-,Crocs
Rafael Monteiro,19,C2,R,37,38,,,P++,Crocs
Harley Richard,22,SP,L,,,,12,K+,Crocs
Marius Harten,23,SP,R,,,,12,GB+,Crocs
Patty Taylor,21,SP,L,,,,12,ST+,Crocs
Christtine Zamora,22,SP,R,,,,12,SC+,Crocs
Matthew Sloan,22,SP,L,,,,12,CN+,Crocs
Brennan Carter,24,RP,L,,,,20,K+,Crocs
Ishmael Rodriguez,24,RP,L,,,,12,CN+,Crocs
Marisol Reyes,19,RP,R,,,,12,,Crocs
Noor Haddad,18,RP,R,,,,8,R-,Crocs
Diego Parra,32,RP,R,,,,8,,Crocs
Douglas Beck,34,RP,L,,,,4,,Crocs
Oscar Hernandez,30,RP,R,,,,4,,Crocs
Dennis Fletcher,29,C,R,26,32,,,,Infernos
John Barnes,25,1B,R,40,47,,,P+,Infernos
Zachary Long,22,2B,R,30,34,,,,Infernos
Brock Thunder,20,3B,L,37,45,,,D+,Infernos
Samuel Gallardo,26,SS,L,28,35,,,P++,Infernos
Flen Wallers,26,LF,R,30,37,,,P+,Infernos
Cristobal Soler,25,CF,R,38,48,,,C+,Infernos
Dianne Jimenez,21,RF,R,21,27,,,P+,Infernos
Zahra Nasser,19,OF,R,19,23,,,S+,Infernos
Evan Costa,22,OF,R,14,20,,,D+,Infernos
Carmen Villalobos,19,INF,R,25,26,,,C+,Infernos
Luis Aguilar,34,INF,R,14,23,,,D-,Infernos
Carmelo Romero,26,C2,R,29,37,,,D+,Infernos
Andres Castillo,24,SP,L,,,,12,SC+,Infernos
Marietta Knapp,22,SP,L,,,,12,Q+,Infernos
Nora Jefferson,22,SP,R,,,,12,K+,Infernos
Marion Powell,34,SP,R,,,,8,,Infernos
Ashlee Dodson,21,SP,R,,,,8,,Infernos
Samuel Bravo,25,RP,R,,,,20,CN+,Infernos
Shaun Felice,23,RP,L,,,,20,SC+,Infernos
Lucia Casanova,23,RP,L,,,,20,Q+,Infernos
Genoveva Bacha,23,RP,L,,,,12,,Infernos
Felix Klauser,23,RP,L,,,,8,Q+,Infernos
James Johnston,34,RP,R,,,,4,R-,Infernos
Elias Davenport,19,RP,R,,,,4,Q+,Infernos
John Fernandez,26,C,L,30,37,,,D+,Knights
Julian Walker,26,1B,R,35,45,,,S+,Knights
Jorge Aguilar,32,2B,L,27,33,,,C-,Knights
Evan Cook,26,3B,R,31,40,,,,Knights
Mohammad Carrillo,22,SS,R,31,37,,,C+,Knights
Harold Richardson,28,LF,R,25,30,,,,Knights
Ashlyn Rorie,23,CF,R,40,44,,,R+,Knights
Johnson Casey,21,RF,L,28,32,,,,Knights
Kira Thornfield,19,OF,S,23,28,,,D-,Knights
Jacinto Li,21,OF,R,32,36,,,D+,Knights
Leif Juarez,22,INF,R,26,29,,,D+,Knights
Roberto Garrett,32,INF,L,25,35,,,C+,Knights
Amina Farouk,19,C2,R,28,32,,,R+,Knights
Juliana Weiser,23,SP,L,,,,12,ST+,Knights
Neville Wallace,21,SP,R,,,,12,ST+,Knights
Gordon Black,24,SP,R,,,,12,ST+,Knights
Markus Fox,20,SP,R,,,,12,R+,Knights
Daniel Parra,27,SP,R,,,,4,,Knights
Wyatt Butler,30,RP,R,,,,20,ST+,Knights
Shadrach Korach,23,RP,R,,,,20,,Knights
Willian Proctor,20,RP,L,,,,8,R+,Knights
Nikolai Petrenko,18,RP,R,,,,4,GB+,Knights
Bruno Kowalski,18,RP,L,,,,8,GB+,Knights
Gina Stanley,21,RP,R,,,,-4,,Knights
Marcos Bravo,30,RP,R,,,,-4,CN+,Knights
Randall Reid,26,C,R,34,42,,,C+,Marshals
Calvin Arroyo,20,1B,R,25,31,,,P++,Marshals
Marc Collins,27,2B,L,25,34,,,,Marshals
Ethan Butler,32,3B,L,25,32,,,,Marshals
Linet Marc,23,SS,R,41,46,,,C+,Marshals
Tracey Sutton,24,LF,R,33,38,,,P++,Marshals
Ricardo Nunez,31,CF,R,27,37,,,,Marshals
Kelly Jennings,26,RF,R,41,47,,,D+,Marshals
Corey Castro,24,OF,R,20,25,,,R+,Marshals
Rowan Pike,19,OF,R,24,30,,,,Marshals
Jax Hollander,19,INF,S,22,25,,,,Marshals
Antonio Iglesias,28,INF,R,18,26,,,,Marshals
Ivan Pena,30,C2,R,25,32,,,,Marshals
Raul Mcdonald,22,SP,L,,,,12,CN+,Marshals
Ellen Damyanova,23,SP,L,,,,12,K+,Marshals
Gregorio Vazquez,21,SP,L,,,,12,,Marshals
Cherie Olson,21,SP,R,,,,12,SC+,Marshals
Marina Reynolds,21,SP,L,,,,8,R+,Marshals
Carey Huffman,21,RP,L,,,,20,Q+,Marshals
Rochelle Tyler,22,RP,R,,,,12,Q+,Marshals
Gutar Pearson,19,RP,R,,,,12,K+,Marshals
Rooney Ellison,20,RP,L,,,,8,Q+,Marshals
Serena Holt,19,RP,L,,,,-4,,Marshals
Calvin Brewer,37,RP,R,,,,-8,CN-,Marshals
Carlos Soler,32,RP,R,,,,-8,,Marshals
Kent Curtis,27,C,L,27,33,,,,Novas
Mariana Mcfarland,21,1B,R,32,35,,,D+,Novas
Luka Petrovic,19,2B,L,33,39,,,P++,Novas
Corey Sutton,21,3B,R,35,36,,,,Novas
Duke Hammerly,20,SS,R,25,31,,,,Novas
Meriwether Batts,23,LF,R,38,46,,,R+,Novas
Kira McSheehy,23,CF,R,42,50,,,P+,Novas
Roberta Vidal,28,RF,R,25,34,,,,Novas
Gregorio Levine,20,OF,R,26,32,,,R-,Novas
Gwen Rizzo,20,OF,R,19,25,,,S+,Novas
Erika Herrera,22,INF,R,31,34,,,C+,Novas
Darrell Donovan,21,INF,R,26,30,,,P++,Novas
Shane Howell,25,C2,L,26,31,,,S+,Novas
Agustin Benitez,24,SP,R,,,,12,Q+,Novas
Marjorie Lambert,20,SP,L,,,,12,Q+,Novas
Maryellen Arias,22,SP,R,,,,12,,Novas
Ernest Castro,31,SP,R,,,,12,,Novas
Ivan Santos,33,SP,R,,,,4,,Novas
Hai Fitzgerald,22,RP,L,,,,20,SC+,Novas
Ismael Martinez,33,RP,R,,,,8,,Novas
Felipe Velasco,31,RP,L,,,,8,CN+,Novas
Tessa Raines,20,RP,S,,,,8,,Novas
Dylan Lawrence,27,RP,L,,,,8,Q+,Novas
Hector Prieto,32,RP,R,,,,4,,Novas
Manuel Lozano,34,RP,L,,,,4,,Novas
Joan Alvarez,29,C,S,34,43,,,,Runners
Victor Martinez,30,1B,R,34,43,,,,Runners
Ignacio Santiago,31,2B,L,35,45,,,,Runners
Kira Dashwood,20,3B,L,35,42,,,S+,Runners
Gabriel Ramirez,25,SS,S,29,44,,,P+,Runners
Francesca Lynch,20,LF,S,33,40,,,S-,Runners
Ramon Newman,21,CF,S,31,36,,,D-,Runners
Randy Warren,26,RF,L,25,32,,,,Runners
Gonzalo Leon,33,OF,R,26,35,,,,Runners
Claude Carroll,26,OF,R,18,27,,,,Runners
Landon Martinez,26,INF,R,26,33,,,D+,Runners
Lorenzo Santiago,27,INF,R,19,28,,,,Runners
German Reyes,25,C2,R,21,28,,,,Runners
Jeremiah Lynch,30,SP,R,,,,12,R+,Runners
Scott Rich,20,SP,R,,,,12,R+,Runners
Ricky Morrison,34,SP,R,,,,8,,Runners
Caleb Dunleavy,18,SP,R,,,,8,SC+,Runners
Anthony Caldwell,26,SP,L,,,,-4,SC+,Runners
Lance Ramos,26,RP,L,,,,20,Q+,Runners
Henry Stephens,24,RP,R,,,,12,GB+,Runners
Arnold Lee,26,RP,R,,,,12,GB+,Runners
Lorna McHatton,22,RP,L,,,,12,ST+,Runners
Numbers Henry,21,RP,L,,,,8,GB+,Runners
Kenzo Hayashi,18,RP,R,,,,8,R+,Runners
Christian Moreno,26,RP,L,,,,-4,,Runners
Cristian Camona,25,C,L,27,34,,,D+,Sabertooths
Eddie Sullivan,30,1B,R,26,32,,,,Sabertooths
Danny Wallace,31,2B,R,32,37,,,,Sabertooths
Ernesto Aguilar,31,3B,R,29,37,,,,Sabertooths
Jorge Ortiz,27,SS,L,42,48,,,D+,Sabertooths
Josiah Parrish,20,LF,R,29,32,,,S+,Sabertooths
Phillip Luthi,23,CF,R,34,42,,,P++,Sabertooths
Reid Pace,21,RF,R,26,31,,,P+,Sabertooths
Mira Quill,19,UTL,R,23,26,,,P++,Sabertooths
Melvin Alvarez,33,OF,L,18,23,,,,Sabertooths
Clarence King,31,INF,L,26,33,,,,Sabertooths
Jordi Nunez,31,INF,L,22,28,,,,Sabertooths
Gabe Wagner,35,C2,R,12,22,,,,Sabertooths
Lavonne Nixon,22,SP,L,,,,12,CL+,Sabertooths
Jose Johnston,22,SP,R,,,,12,C+,Sabertooths
Antione Lucas,21,SP,L,,,,12,CN+,Sabertooths
Cristian Ruiz,34,SP,R,,,,8,,Sabertooths
Jesus Soto,28,SP,R,,,,4,CN-,Sabertooths
Samuel Adams,25,RP,R,,,,20,Q+,Sabertooths
Cesar Santana,29,RP,R,,,,20,CL+,Sabertooths
Val Sparks,20,RP,R,,,,8,Q+,Sabertooths
Lila Fontaine,18,RP,R,,,,8,,Sabertooths
Joe Banks,25,RP,R,,,,8,CN+,Sabertooths
Mohamed Castro,26,RP,R,,,,4,,Sabertooths
Naomi Chambers,19,RP,L,,,,-4,R-,Sabertooths
Alfredo Clay,20,C,L,33,35,,,,Spartans
Lloyd Crooms,23,1B,R,29,36,,,,Spartans
Xavier Hildago,31,2B,R,22,27,,,,Spartans
Alfredo Gallego,28,3B,R,30,35,,,S+,Spartans
Gregorio Caberera,27,SS,R,27,35,,,,Spartans
Alejandro Nunez,24,LF,R,34,44,,,P++,Spartans
Brick McCracken,20,CF,S,33,40,,,S-,Spartans
Mariano Ramos,25,RF,L,44,52,,,P+,Spartans
Raul Marquez,35,OF,L,8,13,,,S-,Spartans
Lila Crestwood,19,OF,R,27,35,,,P+,Spartans
Robin Payne,21,INF,S,22,25,,,C-,Spartans
Joseph Sims,29,INF,S,18,26,,,,Spartans
Jerold Doyle,21,C2,L,23,30,,,,Spartans
Harley Richard,22,SP,L,,,,12,K+,Spartans
Marc Flores,27,SP,L,,,,12,ST+,Spartans
Humbert Scheffel,23,SP,L,,,,12,,Spartans
Alphonse Owens,22,SP,R,,,,8,GB+,Spartans
Leonard Sleeves,28,SP,L,,,,8,,Spartans
Ricardo Mason,24,RP,L,,,,20,K+,Spartans
Luciano Brandt,22,RP,L,,,,20,Q+,Spartans
Jonathan Vargas,24,RP,R,,,,12,K+,Spartans
Brooks Camacho,22,RP,R,,,,12,Q+,Spartans
Jordi Gonzalez,26,RP,L,,,,8,R+,Spartans
Lonnie Stewart,34,RP,R,,,,4,,Spartans
Samuel Curtis,29,RP,R,,,,4,K+,Spartans
Alberto Santana,24,C,R,43,52,,,P++,Spikes
Hector Hernandez,24,1B,R,42,51,,,D+,Spikes
Jeffrey Harrell,21,2B,R,25,28,,,P++,Spikes
Emanuel Turner,23,3B,R,38,47,,,D+,Spikes
Alfredo Campos,33,SS,R,29,39,,,P++,Spikes
Gertrude Maynard,22,LF,S,33,37,,,R+,Spikes
Pat Mills,28,CF,L,28,33,,,S+,Spikes
Marvin Payne,26,RF,L,41,46,,,S+,Spikes
Wade Barnett,25,OF,L,34,40,,,P+,Spikes
Iva Riggs,20,OF,L,24,25,,,P-,Spikes
Yara Haddad,19,INF,L,27,32,,,P++,Spikes
Ivan Moya,25,INF,L,24,31,,,R+,Spikes
Lewis Armstrong,33,C2,L,20,28,,,P--,Spikes
Eli Alvarez,25,SP,L,,,,12,ST+,Spikes
Rico Banzai,20,SP,L,,,,12,GB+,Spikes
Rusty Greaves,20,SP,R,,,,12,K+,Spikes
Ivan Torres,26,SP,R,,,,4,,Spikes
Alexander Orozco,22,SP,R,,,,4,,Spikes
Wesley Baker,25,RP,R,,,,20,CN+,Spikes
Tania French,21,RP,L,,,,12,ST+,Spikes
Manuel Chambers,32,RP,L,,,,4,CN-,Spikes
Brooks Roberts,22,RP,R,,,,4,,Spikes
Silas Griggs,18,RP,R,,,,4,,Spikes
Rafael Kuhn,29,RP,R,,,,-4,,Spikes
Benito Curtis,22,RP,R,,,,-4,,Spikes
Kolbe Sump,23,C,R,27,43,,,P++,Trolls
Agustin Cortes,25,1B,L,29,41,,,P+,Trolls
Martin Mael,23,2B,L,28,41,,,P+,Trolls
Booker Winters,22,3B,R,19,24,,,P++,Trolls
Jack Mitchell,25,SS,R,26,39,,,P++,Trolls
Andre Bell,26,LF,R,29,37,,,P+,Trolls
Calvin Ellis,30,CF,R,25,33,,,P+,Trolls
Yesenia Cuevas,21,RF,R,20,33,,,P-,Trolls
Adam Fowler,32,OF,L,28,33,,,R-,Trolls
Nadia Kirova,18,OF,L,27,33,,,,Trolls
Mike Dean,34,INF,R,29,30,,,S-,Trolls
Raymond Elliott,29,INF,L,26,35,,,,Trolls
Benjamin Hoffman,27,C2,L,26,35,,,,Trolls
Sebastian Crespo,24,SP,R,,,,12,K+,Trolls
Jared Romero,27,SP,L,,,,12,ST+,Trolls
Alison Good,22,SP,R,,,,12,K+,Trolls
Victor Ramos,31,SP,L,,,,8,,Trolls
Katie Cowan,21,SP,R,,,,8,,Trolls
David Vidal,24,RP,L,,,,20,ST+,Trolls
Jean Roman,22,RP,R,,,,20,CN+,Trolls
Raul Chapman,24,RP,R,,,,12,CN+,Trolls
Felix Wade,28,RP,R,,,,12,,Trolls
Gerando Dominguez,30,RP,L,,,,8,,Trolls
Alvaro Leon,29,RP,L,,,,4,CN-,Trolls
Leo Duszynski,23,RP,R,,,,4,GB+,Trolls
Staci Collins,21,C,R,37,43,,,P+,War Hogs
Aisha N'Dour,18,1B,R,30,36,,,S-,War Hogs
Stewart Flynn,21,2B,R,30,32,,,R+,War Hogs
Terrence Young,24,3B,L,39,49,,,D+,War Hogs
Sao Vela,23,SS,R,37,41,,,C+,War Hogs
Jordi Navarro,25,LF,R,32,40,,,S+,War Hogs
Boreas Sudworth,23,CF,R,35,43,,,P++,War Hogs
Pablo Prieto,34,RF,R,25,30,,,C-,War Hogs
Gordon Terry,32,OF,R,24,33,,,,War Hogs
Heather Mckenzie,22,UTL,R,30,37,,,P+,War Hogs
Alejandro Hidalgo,29,INF,R,24,32,,,,War Hogs
Keiko Tanabe,19,UTL,L,29,32,,,,War Hogs
Wilbert Nicholson,21,C2,R,35,42,,,S+,War Hogs
Alejandro Munoz,25,SP,R,,,,12,CL+,War Hogs
Sam Jennings,25,SP,R,,,,12,CN+,War Hogs
Felicia O'Neil,21,SP,R,,,,12,,War Hogs
Brennan Mitchelle,26,SP,L,,,,12,,War Hogs
Ralph Hunt,29,SP,R,,,,4,,War Hogs
Marc Esteban,24,RP,R,,,,20,GB+,War Hogs
Jacqueline Bailey,22,RP,R,,,,20,CN+,War Hogs
Jorge Cabrera,28,RP,L,,,,20,K+,War Hogs
Leanne Vang,22,RP,L,,,,20,,War Hogs
Clifton Jennings,32,RP,R,,,,4,CN-,War Hogs
Miguel Benitez,29,RP,L,,,,4,,War Hogs
Ruthie Campos,22,RP,L,,,,4,,War Hogs
